t,rhythmicity
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0006187688925454552
7.0,0.0017445915509892041
8.0,0.002146575064498468
9.0,0.01762463358909024
10.0,0.01762463358909024
11.0,0.020187547731719872
12.0,0.024824070753681666
13.0,0.024824070753681666
14.0,0.028578237906720073
15.0,0.04385470638553228
16.0,0.04645453305321455
17.0,0.09016771518276967
18.0,0.0945780127637303
19.0,0.0945780127637303
20.0,0.0945780127637303
21.0,0.06726303178537955
22.0,0.06726303178537955
23.0,0.06726303178537955
24.0,0.07971477554833645
25.0,0.08688277959695632
26.0,0.09568270934264377
27.0,0.10058884227840577
28.0,0.10058884227840577
29.0,0.11141768294681798
30.0,0.12021154131196886
31.0,0.15091778279027904
32.0,0.269411866786523
33.0,0.269411866786523
34.0,0.269411866786523
35.0,0.12273631454479653
36.0,0.12273631454479653
37.0,0.12273631454479653
38.0,0.17513072297340412
39.0,0.17819385225014295
40.0,0.1848036572652208
41.0,0.1848036572652208
42.0,0.17819385225014295
43.0,0.09781791356856578
44.0,0.06535398158104434
45.0,0.05704314358225633
46.0,0.05704314358225633
47.0,0.062349478327464125
48.0,0.062349478327464125
49.0,0.06431897114746304
50.0,0.06431897114746304
51.0,0.06431897114746304
52.0,0.041982249941828594
53.0,0.040484067540074366
54.0,0.040484067540074366
55.0,0.041982249941828594
56.0,0.05232079351147436
57.0,0.05232079351147436
58.0,0.05232079351147436
59.0,0.02714250105931538
60.0,0.02714250105931538
61.0,0.02714250105931538
62.0,0.2637776748296171
63.0,0.5936208862504514
64.0,0.7074525296744686
65.0,0.7478019053673567
66.0,0.8527739260264117
67.0,0.8775989724955486
68.0,0.8527739260264117
69.0,0.9141441802906647
70.0,0.9141441802906647
71.0,0.9141441802906647
72.0,0.8039362330705007
73.0,0.8180779154335308
74.0,0.8180779154335308
75.0,0.9598605329379628
76.0,0.8180779154335308
77.0,0.8180779154335308
78.0,0.7965867520956335
79.0,0.7133496797334489
80.0,0.4834853936534775
81.0,0.024630781378346383
82.0,0.021485302408891682
83.0,0.021485302408891682
84.0,0.024630781378346383
85.0,0.03378994410125245
86.0,0.03970252808013986
87.0,0.06077562644905226
88.0,0.06672910642284062
89.0,0.06672910642284062
90.0,0.0653743601380109
91.0,0.06077562644905226
92.0,0.0653743601380109
93.0,0.06031762202253675
94.0,0.06031762202253675
95.0,0.05690687331240056
96.0,0.021798916750090623
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.023008485826832584
103.0,0.042742528382643814
104.0,0.042742528382643814
105.0,0.042742528382643814
106.0,0.039688044873170174
107.0,0.03368544528670444
108.0,0.03368544528670444
109.0,0.03368544528670444
110.0,0.08802403254117361
111.0,0.2763361610293138
112.0,0.5921695365202503
113.0,0.6337353079322546
114.0,0.725314275537628
115.0,0.7964851084621593
116.0,0.8002508478115092
117.0,0.8002508478115092
118.0,0.8002508478115092
119.0,0.8005645664544511
120.0,0.7419686658331828
121.0,0.7379149264980832
122.0,0.6668684831890351
123.0,0.6668684831890351
124.0,0.6668684831890351
125.0,0.714918033331007
126.0,0.714918033331007
127.0,0.714918033331007
128.0,0.42894617558219517
129.0,0.07549356379641836
130.0,0.04434765696040756
131.0,0.043071097274860304
132.0,0.043071097274860304
133.0,0.043071097274860304
134.0,0.043071097274860304
135.0,0.043071097274860304
136.0,0.031138746407408126
137.0,0.005364765314694725
138.0,0.005364765314694725
139.0,0.005364765314694725
140.0,0.006139465301393472
141.0,0.018074603445810314
142.0,0.02692779432073843
143.0,0.02692779432073843
144.0,0.02692779432073843
145.0,0.015296975944182473
146.0,0.009867246766099421
147.0,0.0
148.0,0.0
149.0,0.0
150.0,0.0
151.0,0.0
152.0,0.0
153.0,0.0
154.0,0.002086972589049193
155.0,0.15701975384792646
156.0,0.44493220064356914
157.0,0.5983100533262167
158.0,0.599721100960119
159.0,0.7393635491663383
160.0,0.8083212703740166
161.0,0.8083212703740166
162.0,0.8083212703740166
163.0,0.8423592577532681
164.0,0.7004724531538059
165.0,0.6661077259650554
166.0,0.7004724531538059
167.0,0.7804171294834
168.0,0.7804171294834
169.0,0.7804171294834
170.0,0.7804171294834
171.0,0.6760766942159666
172.0,0.6659017103677232
173.0,0.6659017103677232
174.0,0.6760766942159666
175.0,0.7422550639638597
176.0,0.8514294900156326
177.0,0.8514294900156326
178.0,0.8514294900156326
179.0,0.8563286541697932
180.0,0.8726438548365372
181.0,0.9356730255370435
182.0,0.9356730255370435
183.0,0.9360473732097836
184.0,1.0
185.0,1.0
186.0,1.0
187.0,1.0
188.0,0.8374190118487437
189.0,0.588050696039813
190.0,0.42026364350805023
191.0,0.13645128980299676
192.0,0.04991211391749471
193.0,0.04991211391749471
194.0,0.04991211391749471
195.0,0.10853838858789698
196.0,0.16081471726225816
197.0,0.16081471726225816
198.0,0.16081471726225816
199.0,0.13125814591211174
200.0,0.13125814591211174
201.0,0.13125814591211174
202.0,0.1464433655787089
203.0,0.1833763121869874
204.0,0.195596528779207
205.0,0.195596528779207
206.0,0.1833763121869874
207.0,0.14362273653675275
208.0,0.14362273653675275
209.0,0.1272102581683526
210.0,0.12370600685217367
211.0,0.1184295172249523
212.0,0.1184295172249523
213.0,0.04692975542043782
214.0,0.0
215.0,0.0
216.0,0.0
217.0,0.052331290075967804
218.0,0.2637669302127548
219.0,0.5019327323778897
220.0,0.5757168679041552
221.0,0.5809746022201907
222.0,0.7101467811479215
223.0,0.7355493943665212
224.0,0.8157669653614895
225.0,0.8157669653614895
226.0,0.7355493943665212
227.0,0.7355493943665212
228.0,0.7433361816811612
229.0,0.7433361816811612
230.0,0.7433361816811612
231.0,0.8559667021888171
232.0,0.8559667021888171
233.0,0.8559667021888171
234.0,0.7112864549791008
235.0,0.6177163395517156
236.0,0.06886349987866071
237.0,0.0005302000666501124
238.0,0.0
239.0,0.0
240.0,0.0
